Latitud;Longitud
9.9302;-84.1282
9.9303;-84.1738
9.9302;-84.1282
9.9303;-84.1738
9.9302;-84.1282
9.9302;-84.1282
9.9302;-84.1282
9.9302;-84.0826
9.9302;-84.0826
9.9754;-84.0369
9.9302;-84.037
9.9754;-84.0369
9.9754;-84.0369
9.9753;-83.9913
9.9754;-84.0369
9.9754;-84.0369
9.9753;-83.9457
9.9752;-83.9001
9.9753;-83.9913
9.9753;-83.9457
9.9752;-83.9001
9.9753;-83.9913
9.8845;-83.7179
9.8846;-83.7635
9.9297;-83.7178
9.9298;-83.7634
9.8845;-83.7179
9.8846;-83.7635
9.8393;-83.718
9.8846;-83.7635
9.8846;-83.7635
9.8846;-83.7635
9.8846;-83.7635
9.8846;-83.7635
9.7941;-83.7181
9.7941;-83.7181
9.8392;-83.6724
9.794;-83.6725
9.8392;-83.6724
9.8393;-83.718
9.7939;-83.6269
9.794;-83.6725
9.7941;-83.7181
9.8392;-83.6724
9.8392;-83.6724
9.8392;-83.6724
9.8392;-83.6724
9.7941;-83.7181
9.7941;-83.7181
9.7942;-83.7637
9.7941;-83.7181
9.7942;-83.7637
9.8392;-83.6724
9.7941;-83.7181
9.8393;-83.718
9.8846;-83.7635
9.8846;-83.7635
9.8394;-83.7636
9.8394;-83.7636
9.8393;-83.718
9.8393;-83.718
9.8393;-83.718
9.8393;-83.718
9.9301;-83.9914
9.9301;-83.9914
9.9301;-83.9914
9.885;-84.037
9.8849;-83.9914
9.885;-84.037
9.8849;-83.9914
9.8849;-83.9914
9.9301;-83.9914
9.9301;-83.9914
9.8849;-83.9914
9.9301;-83.9914
9.8849;-83.9914
9.9301;-83.9914
9.9301;-83.9914
9.8849;-83.9914
9.7042;-84.1283
9.659;-84.0828
9.659;-84.1283
9.7042;-84.1283
9.659;-84.0828
9.659;-84.1283
9.659;-84.1283
9.7494;-84.0827
9.7042;-84.0827
9.7042;-84.0827
9.7042;-84.0827
9.7494;-84.0827
9.7494;-84.0827
9.7493;-84.0371
9.7041;-84.0372
9.7041;-84.0372
9.659;-84.0828
9.7042;-84.0827
9.659;-84.0828
9.7041;-84.0372
9.6589;-84.0372
9.6589;-84.0372
9.7041;-84.0372
9.7041;-84.0372
9.7041;-83.9916
9.7041;-84.0372
9.7493;-84.0371
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.0826
9.9301;-83.9914
9.9301;-83.9914
10.0658;-83.9912
10.0205;-83.9913
10.0205;-83.9913
10.0206;-84.0369
10.0205;-83.9913
9.9754;-84.0369
9.9754;-84.0825
9.9754;-84.0369
9.9754;-84.0369
9.9754;-84.0369
9.9754;-84.0369
9.9754;-84.0369
9.9754;-84.0369
9.8847;-83.8547
9.8847;-83.8547
9.8847;-83.8547
9.8847;-83.8547
9.8847;-83.8547
9.8847;-83.8547
9.8848;-83.9003
9.8848;-83.9003
9.8847;-83.8547
9.8847;-83.8547
9.8848;-83.9003
9.93;-83.8546
9.93;-83.9002
9.93;-83.8546
9.8848;-83.9003
9.8848;-83.9003
9.8848;-83.9003
9.8848;-83.9003
9.8396;-83.9003
9.8848;-83.9003
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.93;-83.8546
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.7943;-83.8092
9.8395;-83.8092
9.8846;-83.7635
9.7943;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8394;-83.7636
9.8395;-83.8092
9.7943;-83.8092
9.7943;-83.8548
9.7943;-83.8548
9.5681;-83.7185
9.7491;-83.8093
9.7943;-83.8548
9.7491;-83.8549
9.7943;-83.8548
